dataset;classifier;algorithm;feature-count;auc-score;auc-std;accu-score;accu-std
obesity;random-forest;chi2;120;0.656;0.114;0.652;0.049
obesity;random-forest;chi2;130;0.631;0.13;0.652;0.053
obesity;random-forest;chi2;140;0.644;0.117;0.66;0.038
obesity;random-forest;chi2;150;0.668;0.089;0.652;0.055
obesity;random-forest;chi2;160;0.646;0.116;0.668;0.04
obesity;random-forest;chi2;170;0.647;0.109;0.679;0.07
obesity;random-forest;chi2;180;0.639;0.129;0.652;0.052
obesity;random-forest;chi2;190;0.634;0.115;0.668;0.038
obesity;random-forest;chi2;200;0.655;0.12;0.656;0.026
obesity;random-forest;multisurf;10;0.662;0.12;0.649;0.071
obesity;random-forest;multisurf;20;0.678;0.11;0.652;0.084
obesity;random-forest;multisurf;30;0.678;0.128;0.64;0.081
obesity;random-forest;multisurf;40;0.673;0.116;0.668;0.059
obesity;random-forest;multisurf;50;0.668;0.126;0.659;0.063
obesity;random-forest;multisurf;60;0.669;0.115;0.675;0.047
obesity;random-forest;multisurf;70;0.669;0.131;0.648;0.038
obesity;random-forest;multisurf;80;0.666;0.144;0.679;0.061
obesity;random-forest;multisurf;90;0.676;0.117;0.675;0.054
obesity;random-forest;multisurf;100;0.673;0.12;0.679;0.06
obesity;random-forest;multisurf;110;0.67;0.111;0.656;0.036
obesity;random-forest;multisurf;120;0.664;0.121;0.652;0.038
obesity;random-forest;multisurf;130;0.676;0.096;0.652;0.034
obesity;random-forest;multisurf;140;0.703;0.099;0.664;0.03
obesity;random-forest;multisurf;150;0.684;0.093;0.644;0.028
obesity;random-forest;multisurf;160;0.676;0.084;0.636;0.038
obesity;random-forest;multisurf;170;0.688;0.09;0.656;0.037
obesity;random-forest;multisurf;180;0.692;0.106;0.656;0.03
obesity;random-forest;multisurf;190;0.671;0.109;0.637;0.036
obesity;random-forest;multisurf;200;0.701;0.094;0.66;0.033
obesity;random-forest;boruta;7;0.683;0.09;0.672;0.087
cirrhosis;random-forest;random-forest;10;0.93;0.052;0.854;0.057
cirrhosis;random-forest;random-forest;20;0.955;0.038;0.871;0.063
cirrhosis;random-forest;random-forest;30;0.954;0.041;0.875;0.067
cirrhosis;random-forest;random-forest;40;0.96;0.038;0.866;0.067
cirrhosis;random-forest;random-forest;50;0.959;0.038;0.867;0.064
cirrhosis;random-forest;random-forest;60;0.964;0.034;0.862;0.056
cirrhosis;random-forest;random-forest;70;0.96;0.037;0.875;0.07
cirrhosis;random-forest;random-forest;80;0.955;0.041;0.867;0.054
cirrhosis;random-forest;random-forest;90;0.957;0.039;0.88;0.065
cirrhosis;random-forest;random-forest;100;0.955;0.037;0.867;0.061
cirrhosis;random-forest;random-forest;110;0.959;0.036;0.862;0.056
cirrhosis;random-forest;random-forest;120;0.954;0.042;0.871;0.066
cirrhosis;random-forest;random-forest;130;0.954;0.038;0.862;0.059
cirrhosis;random-forest;random-forest;140;0.954;0.043;0.875;0.064
cirrhosis;random-forest;random-forest;150;0.949;0.048;0.858;0.06
